Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0, TIDL_DataLayer, 3, 416, 416, 3, 416, 416, 3, FRAME, 0, 0, 173056, 173056, 1, 0, 1,,,,,,,,, MSMC, DMA, 173056, 173056, 2, 346112, 0, 0, ,,,,,,,, DDR, CPU, 173056, 173056, 3, 520192, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, TIDL_ConvolutionLayer, 3, 416, 416, 12, 208, 208, 3, ROW_C, 416, 416, 32448, 173056, 6, 1, 6,,,,,,,,, L2, DMA, 65536, 65536, 3, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 43328, 43264, 12, 519936, 0, 0, ,,,,,,,, MSMC, DMA_ONCE, 27, 27, 12, 512, 0, f1e00, ,,,,,,,, 
 2, TIDL_ConvolutionLayer, 12, 208, 208, 16, 208, 208, 12, ROW_C, 418, 448, 7968, 43264, 6, 1, 6,,,,,,,,, L2, DMA, 16384, 16384, 12, 196736, 0, 0, ,,,,,,,, MSMC, CPU, 43328, 43264, 16, 693248, 0, 0, ,,,,,,,, MSMC, DMA, 192, 108, 16, 3200, 0, a9400, ,,,,,,,, 
 3, TIDL_ConvolutionLayer, 16, 208, 208, 32, 104, 104, 16, ROW_L, 208, 208, 5824, 43264, 8, 1, 8,,,,,,,,, L2, DMA, 11968, 11968, 16, 226560, 0, 0, MSMC, CPU, 1472, 1456, 32, 94208, 0, aad00, DDR, DMA, 13248, 10816, 32, 424960, 0, 0, ,,,,,,,, MSMC, DMA, 192, 144, 32, 6400, 0, a9400, ,,,,,,,, 
 5, TIDL_ConvolutionLayer, 32, 104, 104, 16, 104, 104, 32, ROW_L, 0, 0, 3424, 10816, 4, 1, 4,,,,,,,,, L2, DMA, 6848, 6848, 32, 226176, 0, 0, ,,,,,,,, MSMC, CPU, 10816, 10816, 16, 173056, 0, 0, ,,,,,,,, MSMC, DMA, 32, 32, 16, 640, 0, 2a400, ,,,,,,,, 
 4, TIDL_ConvolutionLayer, 32, 104, 104, 16, 104, 104, 32, ROW_L, 0, 0, 3424, 10816, 4, 1, 4,,,,,,,,, L2, DMA, 6848, 6848, 32, 226176, 0, 0, ,,,,,,,, MSMC, CPU, 10816, 10816, 16, 173056, 0, 2a400, ,,,,,,,, MSMC, DMA, 32, 32, 16, 640, 0, 54800, ,,,,,,,, 
 6, TIDL_ConvolutionLayer, 16, 104, 104, 16, 104, 104, 16, ROW_L, 0, 0, 7072, 10816, 2, 1, 2,,,,,,,,, L2, DMA, 14144, 14144, 16, 226432, 0, 0, ,,,,,,,, MSMC, CPU, 10816, 10816, 16, 173056, 0, 55480, ,,,,,,,, MSMC, DMA, 16, 16, 16, 384, 0, 54800, ,,,,,,,, 
 7, TIDL_ConvolutionLayer, 16, 104, 104, 16, 104, 104, 16, ROW_L, 210, 224, 6944, 10816, 2, 1, 2,,,,,,,,, L2, DMA, 14144, 14144, 16, 226432, 0, 0, ,,,,,,,, MSMC, CPU, 10816, 10816, 16, 173056, 0, 55480, ,,,,,,,, MSMC, DMA_ONCE, 192, 144, 16, 3200, 0, f1180, ,,,,,,,, 
 8, TIDL_EltWiseLayer, 32, 104, 104, 16, 104, 104, 32,  COL, 0, 0, 10816, 10816, 4, 0, 4,,,,,,,,, L2, DMA, 10816, 10816, 8, 173056, 0, 0, ,,,,,,,, MSMC, CPU, 10816, 10816, 16, 173056, 0, 2a400, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 9, TIDL_ConcatLayer, 32, 104, 104, 32, 104, 104, 32,  COL, 0, 0, 10816, 10816, 4, 0, 4,,,,,,,,, L2, DMA, 10816, 10816, 16, 173056, 0, 0, ,,,,,,,, MSMC, CPU, 10816, 10816, 32, 346112, 0, 2a400, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
