 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,utilization,
       1,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,       3,      12,     416,     416,     208,     208,  341.04,341035.82,321010.82,321060.82, 6300.00,13675.00,61667.50,507.00,507.00,  0.50,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.52,    0.52,    0.00,       0,   19.02,
       2,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      12,      16,     208,     208,     208,     208,  649.71,649708.79,637462.12,637512.12, 7100.00, 5096.67,17412.67,507.00,676.00,  1.88,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.52,    0.70,    0.00,    0.00,       0,   38.74,
       3,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,      16,      32,     208,     208,     104,     104,  420.15,420152.99,405384.11,405434.11, 8600.00, 6118.89,76790.00,676.00,338.00,  4.75,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    1.04,    0.36,    0.00,    0.35,       1,   75.26,
       5,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      32,      16,     104,     104,     104,     104,   64.71,64706.40,41606.40,41656.40, 7100.00,15950.00,35070.00,338.00,169.00,  0.62,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.18,    0.35,    0.00,       1,   10.98,
       4,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      32,      16,     104,     104,     104,     104,   64.71,64706.40,41606.40,41656.40, 7100.00,15950.00,35070.00,338.00,169.00,  0.62,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.18,    0.35,    0.00,       1,   10.98,
       6,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      16,      16,     104,     104,     104,     104,   53.40,53395.30,40615.30,40665.30, 7100.00, 5630.00, 2557.56,169.00,169.00,  0.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.17,    0.18,    0.00,    0.00,       1,   15.69,
       7,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      16,      16,     104,     104,     104,     104,  210.73,210730.54,199267.20,199317.20, 6300.00, 5113.33, 2557.56,169.00,169.00,  2.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.17,    0.18,    0.00,    0.00,       1,   38.42,
       8,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      32,      16,     104,     104,     104,     104,   21.97,21969.11, 7568.80,11464.67, 7000.00, 3504.44,11414.67,338.00,169.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.35,    0.17,    0.00,    0.00,       2,    0.29,
       9,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      32,      32,     104,     104,     104,     104,   28.12,28122.05,13817.60,13867.60,11000.00, 3254.44,10664.67,338.00,338.00,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.35,    0.35,    0.00,    0.00,       2,    0.57,
      10,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      32,      32,     104,     104,     104,     104,   54.96,54964.00,41624.00,41674.00, 7100.00, 6190.00, 9902.00,338.00,338.00,  1.25,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.35,    0.36,    0.00,    0.00,       1,   36.98,
